feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19
1.0,0.0013065357,0.0,0.0019754202,0.0005925507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.416119e-05,0.0,0.0
0.0013065357,1.0,0.03759476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005996711,0.017713439,0.0
0.0,0.03759476,1.0,0.0019240476,0.0017015536,0.0025449588,0.0013261335,0.0,0.00077120354,0.00077120354,0.0,0.00077120354,0.0,0.0,0.0,0.0,0.0,0.0010875722,0.0002568023,0.0
0.0019754202,0.0,0.0019240476,1.0,0.9168053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001948569,0.0049812505,0.014729784,0.00176589,0.002818028,0.024748174,0.0,0.0
0.0005925507,0.0,0.0017015536,0.9168053,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012740877,0.0091949385,0.029887695,0.0,0.0,0.01884122,0.0,0.0
0.0,0.0,0.0025449588,0.0,0.0,1.0,0.9452462,0.59134966,0.7424642,0.7424642,0.72523963,0.7424642,0.00031638672,0.0,0.0,0.0,0.0350018,0.021556234,0.0020941722,0.0
0.0,0.0,0.0013261335,0.0,0.0,0.9452462,1.0,0.55533594,0.6575007,0.6575007,0.18886794,0.6575007,0.00021527313,0.0,0.0,0.0,0.028017879,0.08758186,0.0014085624,0.0
0.0,0.0,0.0,0.0,0.0,0.59134966,0.55533594,1.0,0.49774757,0.49774757,0.26982617,0.49774757,0.0,0.0,0.0,0.0,0.020239135,0.20247789,0.0,0.0044131824
0.0,0.0,0.00077120354,0.0,0.0,0.7424642,0.6575007,0.49774757,1.0,1.0,0.832105,1.0,0.00015130974,0.0,0.0,0.0,0.011911796,0.037398193,0.0008558977,0.0
0.0,0.0,0.00077120354,0.0,0.0,0.7424642,0.6575007,0.49774757,1.0,1.0,0.832105,1.0,0.00015130974,0.0,0.0,0.0,0.011911796,0.037398193,0.0008558977,0.0
0.0,0.0,0.0,0.0,0.0,0.72523963,0.18886794,0.26982617,0.832105,0.832105,1.0,0.832105,0.0,0.0,0.0,0.0,0.0022197205,0.037605204,0.0006198393,0.0
0.0,0.0,0.00077120354,0.0,0.0,0.7424642,0.6575007,0.49774757,1.0,1.0,0.832105,1.0,0.00015130974,0.0,0.0,0.0,0.011911796,0.037398193,0.0008558977,0.0
0.0,0.0,0.0,0.001948569,0.0012740877,0.00031638672,0.00021527313,0.0,0.00015130974,0.00015130974,0.0,0.00015130974,1.0,0.0016580247,0.0,0.0,0.0022506253,0.009872205,0.0,0.0
0.0,0.0,0.0,0.0049812505,0.0091949385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016580247,1.0,0.43502647,0.22788788,0.0,0.025716381,0.0,0.0
0.0,0.0,0.0,0.014729784,0.029887695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43502647,1.0,0.075095356,0.0,0.0004045747,0.0,0.0
0.0,0.0,0.0,0.00176589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22788788,0.075095356,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.002818028,0.0,0.0350018,0.028017879,0.020239135,0.011911796,0.011911796,0.0022197205,0.011911796,0.0022506253,0.0,0.0,0.0,1.0,0.026589248,0.0,0.0
7.416119e-05,0.0005996711,0.0010875722,0.024748174,0.01884122,0.021556234,0.08758186,0.20247789,0.037398193,0.037398193,0.037605204,0.037398193,0.009872205,0.025716381,0.0004045747,0.0,0.026589248,1.0,0.0,0.0
0.0,0.017713439,0.0002568023,0.0,0.0,0.0020941722,0.0014085624,0.0,0.0008558977,0.0008558977,0.0006198393,0.0008558977,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044131824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
